"LZM_Index","Title_Unit","Course_Formats","Language","Date","Version","License","RDMT_Proficiency_Level","LZM_Learning_Objective","Learning_Ressource","PID_URL","Consortia","Learning_Methods","Acessibility","FAIR","Duration","P_Libraries","P_Language","Datatypes","Tool_Software","Dataformat_Course","Plattform_Implementation","","","","","","","","","","","","",""
"Project management","Forschungsdatenmanagement für kleine Projekte in den Sozial- und Wirtschaftswissenschaften","Online; self-paced; presentation and slides","de; en","2023","NN","CC BY-SA 4.0","NN","NN","Lesson","https://www.konsortswd.de/publikation/lehrfolien-fdm-kleine-projekte/","KonsortSWD","NN","NN","NN","NN","NN","NN","NN","NN","pptx","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","2. Basics in Research Data Management","Online; self-paced","en","2024","1.2.0","CC BY-SA 4.0","novice/advanced beginner","01_001_0001; 01_001_0002; 01_001_0004; 01_001_0005; 01_007_0117 (FAIR); 05_012_1054 (CARE); 01_005_0079 (DLC); 01_005_0080 (DLC)","Lesson","https://liascript.github.io/course/?https://raw.githubusercontent.com/NFDI4Biodiversity/nfdi4biodiversity-sle/main/README.md#6","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","HTML; Markdown; CSS","LiaScript","","","","","","","","","","","","",""
"Data management plan","3. Planning Research Projects","Online; self-paced","en","2024","1.2.0","CC BY-SA 4.0","novice/advanced beginner","01_006_0092; 01_006_0093; 01_006_0094; 01_006_0096; 01_006_0102","Lesson","https://liascript.github.io/course/?https://raw.githubusercontent.com/NFDI4Biodiversity/nfdi4biodiversity-sle/main/README.md#12","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","HTML; Markdown; CSS","LiaScript","","","","","","","","","","","","",""
"Data integration","4. Collecting Data","Online; self-paced","en","2024","1.2.0","CC BY-SA 4.0","novice/advanced beginner","02_016_0550; 02_016_0562; 02_016_0568; 03_001_0599; 03_001_0600; 03_001_0601; 03_001_0602; 03_001_0603; 03_001_0604; 03_001_0618; 03_002_0626; 03_002_0627; 03_002_0628; 03_002_0631; 03_002_0632; 03_003_0645; 03_003_0646; 03_003_0648; 03_003_0649; 03_003_0653; 03_003_0661; 03_005_0695; 03_005_0696; 03_005_0697; 03_005_0699; 03_005_0720; 03_006_0731; 03_006_0768; 03_007_0775; 03_007_0776; 02_011_0412; 02_011_0413; 02_011_0414; 02_011_0416; 02_011_0417; 02_011_0428; 02_011_0429; 02_011_0430; 02_011_0432; 02_011_0434","Lesson","https://liascript.github.io/course/?https://raw.githubusercontent.com/NFDI4Biodiversity/nfdi4biodiversity-sle/main/README.md#20","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","HTML; Markdown; CSS","LiaScript","","","","","","","","","","","","",""
"Data analysis","5. Analysing Data","Online; self-paced","en","2024","1.2.0","CC BY-SA 4.0","novice/advanced beginner","02_017_0583; 02_015_0538; 02_008_0364","Lesson","https://liascript.github.io/course/?https://raw.githubusercontent.com/NFDI4Biodiversity/nfdi4biodiversity-sle/main/README.md#39","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","HTML; Markdown; CSS","LiaScript","","","","","","","","","","","","",""
"Archiving","6. Preserving Data","Online; self-paced","en","2024","1.2.0","CC BY-SA 4.0; CC-BY 4.0 (Text version)","novice/advanced beginner","02_005_0276; 02_005_0280; 02_005_0284; 02_005_0285; 02_005_0286; 02_005_0287; 04_001_0803; 04_001_0804; 04_001_0805; 04_001_0810; 04_001_0812; 04_002_0826; 04_002_0827; 04_002_0831; 04_003_0843; 04_003_0846; 04_003_0847; 04_004_0860; 04_004_0861; 04_004_0862; 04_004_0863; 04_004_0864; 04_004_0867; 03_004_0675; 03_004_0676; 03_004_0677; 03_004_0678; 03_004_0680; 03_004_0681; 03_004_0682","Lesson","https://liascript.github.io/course/?https://raw.githubusercontent.com/NFDI4Biodiversity/nfdi4biodiversity-sle/main/README.md#47","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","HTML; Markdown; CSS","LiaScript","","","","","","","","","","","","",""
"General legal aspects","7. Sharing Data","Online; self-paced","en","2024","1.2.0","CC BY-SA 4.0","novice/advanced beginner","05_001_0902; 05_001_0903; 05_001_0904; 05_001_0905; 05_001_0906; 05_002_0913; 05_002_0914; 05_002_0915; 05_002_0917; 05_003_0920; 05_003_0921; 05_003_0922; 05_003_0923; 05_003_0924; 05_003_0925; 05_003_0926; 05_003_0927; 05_003_0929; 05_003_0939; 05_003_0940; 05_005_0957; 05_005_0958; 05_005_0959; 05_006_0970; 05_006_0971; 05_006_0972; 05_006_0973; 05_006_0974; 05_010_1018; 05_010_1019; 05_010_1021","Lesson","https://liascript.github.io/course/?https://raw.githubusercontent.com/NFDI4Biodiversity/nfdi4biodiversity-sle/main/README.md#53","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","HTML; Markdown; CSS","LiaScript","","","","","","","","","","","","",""
"Programming","NFDI4Biodiversity & GfÖ Winter School 2022","Winterschool; part of our Seasonal School (5 day online course)","en","2022","1","Sophie Wolf 2022","novice/advanced beginner","02_011_0413; 02_011_0414; 02_011_0415; 02_011_0417; 02_011_0418; 02_011_0419; 02_011_0420; 02_011_0421; 02_011_0422; 02_011_0423; 02_015_0535; 02_015_0538; 02_015_0539; 02_015_0540; 02_015_0541; 02_017_0583; 02_017_0584; 02_017_0586; 02_017_0591","Jupyter Notebook; Jupyter Book","https://github.com/sojwolf/Jupyter_Workshop_Winterschool_2022","NFDI4Biodiversity","NN","NN","NN","NN","R: r-base=3.6; r-tidyverse; r-raster; bioconductor-pcamethods; Python: numpy; matplotlib; pandas; rpy2; session-info; seaborn; cartopy; rapidfuzz","Python; R
r-tidyverse; 
r-raster; 
bioconductor-pcamethods","NN","R; Python; Jupyter","NN","GitHub","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","NFDI4Biodiversity Self-Study Unit - Research Data Management for Biodiversity Data","Online; self-paced","en","2023","1.0.0","CC BY-SA 4.0","novice/advanced beginner","01_001_0001; 01_001_0002; 01_001_0004; 01_001_0005; 01_001_0007; 01_001_0008; 01_001_0009","Lesson","https://zenodo.org/records/10377868","NFDI4Biodiversity","NN","NN","NN","NN","NN","NN","NN","NN","PDF","NN","","","","","","","","","","","","",""
"Basic data terms and significance of research data management (RDM)","NFDI4Biodiversity Self-Study Unit - Research Data Management for Biodiversity Data","NN","en","2024","2","NN","NN","NN","Jupyter Notebook; R-Script","NN","NFDI4Biodiversity","NN","NN","NN","NN","ggplot2","Python; R","NN","NN","NN","NN","","","","","","","","","","","","",""
"Data integration","Taxonomic name harmonization","Part of Seasonal School 2024","en","2025","5","CC BY 4.0","advanced beginner; advanced","02_011_0412; 02_011_0413; 02_011_0414; 02_011_0415; 02_011_0416; 02_011_0417; 02_011_0418; 02_011_0419; 02_011_0420; 02_011_0421; 02_011_0422; 02_011_0423; 02_011_0426; 02_011_0427; 02_011_0428; 02_011_0429; 02_011_0430; 02_011_0431; 02_011_0432; 02_011_0434; 02_012_0445; 02_012_0448; 02_012_0449; 02_012_0450; 02_012_0451; 02_012_0452; 02_012_0471; 02_012_0472; 02_012_0473; 02_012_0474; 02_012_0477; 02_012_0478; 02_012_0480; 02_015_0535; 02_015_0540; 02_015_0541","Jupyter Notebook; + training data sets (plant names_2024-04-08.txt; plant names_parsed.txt)
+ presentation slides)","https://zenodo.org/records/14273559","NFDI4Biodiversity","NN","NN","NN","NN","data.table;  rgbif; doSNOW","R","The training data sets are .txt files with tabular data. The data is taxonomic data of plants - no further explanation necessary for biologists. For others: lists of plant species names; species authors; and other related data.","NN","ipynb; html; txt; pdf","NN","","","","","","","","","","","","",""
"Archiving","DATA AFFAIRS - Archivierung","Online; self-paced","de","2023","1","CC BY-SA 4.0","novice /advanced beginner","NN","Module","https://histocat.uni-trier.de/#/document/44","NFDI4Memory","NN","NN","NN","NN","NN","NN","NN","NN","NN","HTML","","","","","","","","","","","","",""
